ins,name,name_vn,info,function,adi,level,status_vn,source,rule_pred
262(i),Sodium acetate,Natri acetat,"Natri acetat (INS 262(i)) là muối natri của axit axetic, hoạt động chủ yếu như một chất bảo quản, điều chỉnh độ axit và tác nhân đệm trong thực phẩm. Nó có nguồn gốc từ axit axetic, một thành phần tự nhiên trong giấm, và thường được tổng hợp.
  
  Độ an toàn: Rất An toàn (Very Safe).
  Tình trạng pháp lý: Được phép sử dụng rộng rãi trên toàn cầu, bao gồm EU (E 262(i)), FDA (được công nhận là GRAS - Generally Recognized As Safe) và JECFA (ADI 'không xác định' - not specified).","Chất điều chỉnh độ acid, chất bảo quản, chất tạo phức kim loại",,1,0,https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/2970,2
322,Lecithins,,"Lecithin (INS 322)
  
  Lecithin (INS 322) là một chất nhũ hóa tự nhiên, là hỗn hợp các phospholipid chiết xuất chủ yếu từ đậu nành, hướng dương hoặc lòng đỏ trứng. Nó giúp trộn lẫn các pha dầu và nước, cải thiện cấu trúc và độ ổn định của sản phẩm.
  
  Độ an toàn: Rất an toàn (Very Safe).
  Tình trạng pháp lý: Được chấp thuận rộng rãi toàn cầu. EU (E 322), FDA (GRAS), JECFA (ADI 'không xác định').","Chất chống oxy hóa, chất nhũ hóa, chất xử lý bột",,1,0,,2
331,Sodium citrates,,"INS: 331
  Tên tiếng Anh: Sodium citrates
  Tên tiếng Việt: Natri citrat
  
  Natri citrat (INS 331) là muối của acid citric, hoạt động như một chất điều chỉnh độ acid (pH), chất tạo phức kim loại và muối nhũ hóa, giúp ổn định sản phẩm. Nguồn gốc của nó từ acid citric tự nhiên hoặc tổng hợp. Phụ gia này được FDA xếp vào loại GRAS (Thường được công nhận là an toàn) và JECFA không đặt ADI (Mức tiêu thụ hàng ngày chấp nhận được), cho thấy mức độ an toàn rất cao. Natri citrat được phép sử dụng rộng rãi trên toàn cầu, bao gồm EU và Hoa Kỳ.","Chất điều chỉnh độ acid, chất nhũ hóa, muối nhũ hóa, chất tạo phức kim loại, chất ổn định",,1,0,,2
332,Potassium citrates,,"INS: 332 - Potassium Citrates (Kali citrat)
  
  INS 332, Kali citrat, là muối kali của axit citric, hoạt động như một chất điều chỉnh độ axit, chất ổn định và chất nhũ hóa trong thực phẩm. Nó được tổng hợp từ axit citric có tự nhiên trong trái cây họ cam quýt và các hợp chất kali. Phụ gia này được đánh giá là Rất An toàn với Mức chấp nhận hàng ngày (ADI) ""không xác định"" bởi JECFA. Kali citrat được phép sử dụng rộng rãi bởi FDA (GRAS), EFSA (EU) và các cơ quan quản lý thực phẩm trên toàn cầu.","Chất ổn định, chất điều chỉnh độ acid, muối nhũ hóa, chất tạo phức kim loại, chất chống oxy hóa",,1,0,,2
350,Sodium malates,,"INS: 350
  Tên tiếng Anh: Sodium malates
  Tên tiếng Việt: (nan - không có tên tiếng Việt phổ biến)
  
  Sodium malates (INS 350) là muối natri của axit malic, hoạt động chủ yếu như chất điều chỉnh độ axit (acid regulator), chất tạo hương và chất giữ ẩm. Chúng có nguồn gốc từ axit malic tự nhiên trong trái cây (như táo) hoặc được tổng hợp. Phụ gia này được đánh giá là Very Safe, với JECFA đặt ADI 'không xác định' (not specified) cho L-malate. Sodium malates được EU (E 350), FDA và các cơ quan quản lý thực phẩm khác cho phép sử dụng rộng rãi trong nhiều sản phẩm.","Chất điều chỉnh độ acid, chất giữ ẩm",,1,0,,2
364(ii),Disodium succinate,Dinatri succinat,"Dinatri succinat (INS 364(ii)) là muối dinatri của acid succinic, chủ yếu được sử dụng làm chất điều vị (tạo vị umami) và chất điều chỉnh độ acid. Nó có nguồn gốc tự nhiên trong nhiều loại thực phẩm và là một chất chuyển hóa quan trọng trong cơ thể. Được coi là Rất An toàn (Very Safe) với độc tính thấp, ADI (Lượng ăn vào hàng ngày chấp nhận được) ""không xác định"" bởi JECFA. Phụ gia này được chấp thuận rộng rãi, bao gồm GRAS bởi FDA và mã E 364 ở EU.","Chất điều chỉnh độ acid, chất điều vị",,1,0,,2
437,Tamarind seed polysaccharide,,"INS: 437 (Tamarind seed polysaccharide)
  
  INS 437 là một hydrocolloid tự nhiên chiết xuất từ hạt me, hoạt động như chất làm đặc, ổn định và tạo gel trong thực phẩm. Phụ gia này được đánh giá là Rất An Toàn với ADI (Lượng ăn vào hàng ngày chấp nhận được) ""không xác định"" bởi JECFA. Tình trạng pháp lý: Được chấp thuận sử dụng rộng rãi tại EU, FDA và nhiều quốc gia khác trên thế giới.","Chất nhũ hóa, Chất tạo gel, Chất ổn định, Chất làm đặc",NOT SPECIFIED,4,0,https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/6460,1
445,Glycerol esters of rosin,,"INS: 445 (Glycerol esters of rosin)
  
  INS 445, hay Glycerol esters of rosin, là một chất nhũ hóa và ổn định được điều chế bằng cách este hóa glycerol với nhựa thông (rosin). Chất này chủ yếu được sử dụng làm chất tạo nền trong kẹo cao su, tạo độ đàn hồi và ngăn dính, cũng như là chất làm nặng để ổn định dầu cam quýt trong đồ uống. Nó được coi là rất an toàn (Very Safe), với ADI ""không xác định"" bởi JECFA. INS 445 được FDA công nhận GRAS và được chấp thuận rộng rãi tại EU (E 445) cũng như nhiều quốc gia khác.",Chất nhũ hóa,,1,0,,2
452,Polyphosphates,,"INS: 452
  Tên tiếng Anh: Polyphosphates
  Tên tiếng Việt: Polyphosphat
  
  Polyphosphat (INS 452) là nhóm muối vô cơ đa chức năng, hoạt động như chất ổn định, nhũ hóa, giữ ẩm và cải thiện cấu trúc thực phẩm. Chúng được tổng hợp từ axit photphoric và nhìn chung được coi là an toàn khi sử dụng trong giới hạn cho phép (ADI). FDA, EU và JECFA đều chấp thuận Polyphosphat sử dụng rộng rãi trong nhiều loại thực phẩm chế biến.","Chất tạo phức kim loại, chất điều chỉnh độ acid, chất nhũ hóa, muối nhũ hóa, chất làm ẩm, chất tạo xốp, chất ổn định, chất làm dày",,1,0,,2
452(i),Sodium polyphosphate,Natri polyphosphat,"Natri polyphosphat (INS 452(i)) là một nhóm phụ gia tổng hợp, hoạt động như chất điều chỉnh độ axit, chất tạo phức kim loại (sequestrant), chất ổn định và chất nhũ hóa. Chúng được sử dụng để cải thiện khả năng giữ nước, cấu trúc và độ đàn hồi cho thực phẩm.
  
  Nguồn gốc: Tổng hợp từ axit photphoric.
  Độ an toàn & mức rủi ro: Safe w/ Limits (An toàn với giới hạn), do cần kiểm soát tổng lượng phốt phát nạp vào cơ thể để tránh mất cân bằng khoáng chất.
  Tình trạng pháp lý: Được phép sử dụng rộng rãi trong thực phẩm bởi các cơ quan như EU, FDA và JECFA, với các giới hạn sử dụng cụ thể.","Chất tạo phức kim loại, chất điều chỉnh độ acid, chất nhũ hóa, muối nhũ hóa, chất làm ẩm, chất tạo xốp, chất ổn định, chất làm dày",0-70,1,0,https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/4669,2
460,Celluloses,,"INS: 460 (Xenlulozo)
  
  Xenlulozo là một polysaccharide tự nhiên có nguồn gốc từ thực vật, được sử dụng rộng rãi như chất độn, chống đông vón, ổn định, và là nguồn chất xơ. Chất này được đánh giá là Rất An toàn, với JECFA không đặt ra ADI cụ thể (""ADI not specified""). Được FDA công nhận GRAS (Generally Recognized As Safe) và EU chấp thuận dưới mã E460, xenlulozo có tình trạng pháp lý rộng rãi và mức độ rủi ro rất thấp.","Chất chống đông vón, Bulking agent, Carrier, Glazing agent, Chất nhũ hóa, Foaming agent, chất giữ ẩm, chất ổn định, Chất làm dày",,1,0,,2
518,Magnesium sulphate,Magnesi sulfat ,"Magnesium sulphate (INS 518) là một muối vô cơ, được sử dụng chủ yếu như chất làm săn chắc, bổ sung khoáng chất (magiê) và điều chỉnh độ chua trong thực phẩm. Nó có thể có nguồn gốc tự nhiên (như muối Epsom) hoặc tổng hợp, thường được tìm thấy trong nước khoáng và các sản phẩm đậu phụ. Được đánh giá là Rất An Toàn (Very Safe) khi sử dụng ở mức độ cho phép. Tình trạng pháp lý: Được phép sử dụng rộng rãi tại EU, được FDA xếp loại GRAS (Generally Recognized As Safe), và JECFA đã đặt ADI ""không xác định"" (ADI not specified).","Chất làm rắn chắc, chất điều vị ",0.05–0.5,1,0,https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/3645,2
554,Sodium aluminium silicate,Natri nhôm silicat ,"INS 554 (Sodium aluminium silicate) là phụ gia tổng hợp, chủ yếu dùng làm chất chống vón và chất mang, giúp ngăn chặn sự vón cục của thực phẩm dạng bột.
  
  Nguồn gốc: Hợp chất tổng hợp từ natri, nhôm và silicat.
  Độ an toàn & mức rủi ro: Safe w/ Limits (An toàn khi sử dụng trong giới hạn cho phép).
  Tình trạng pháp lý: Đã được JECFA đánh giá, được phép sử dụng ở EU (E 554) và được FDA công nhận là GRAS cho các ứng dụng cụ thể.",Chất chống đông vón,NOT SPECIFIED,2,0,https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/3601,1
579,Ferrous gluconate,Sắt (II) gluconat ,"INS: 579 (Ferrous gluconate)
  
  Là một hợp chất sắt hữu cơ, Ferrous gluconate hoạt động như một chất bổ sung sắt và chất ổn định màu sắc. Được tổng hợp, nó thường được dùng để bổ sung vi chất sắt trong thực phẩm và duy trì màu đen đặc trưng cho ô-liu. Độ an toàn: Safe w/ Limits (An toàn có giới hạn). Tình trạng pháp lý: Được phê duyệt bởi EU (E 579), FDA (GRAS) và JECFA (ADI được thiết lập).",chất giữ màu,0.8,1,0,https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/1395,2
585,Ferrous lactate,Sắt (II) lactat ,"Ferrous lactate (INS 585) là muối sắt của axit lactic, chủ yếu được sử dụng làm chất bổ sung vi chất sắt trong thực phẩm. Nó thường được tổng hợp và đôi khi cũng dùng như chất ổn định màu trong một số sản phẩm. Được coi là An toàn với giới hạn khi sử dụng theo liều lượng khuyến nghị, cung cấp dạng sắt có khả năng hấp thụ tốt. Phụ gia này được cấp phép tại EU (E 585), FDA (GRAS cho mục đích bổ sung dinh dưỡng) và đã được JECFA đánh giá.",chất giữ màu,0.8,1,0,https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/1497,2
925,chlorine,Khí clor,"INS: 925 (Clo)
  
  INS 925, hay Clo (Chlorine), là một tác nhân oxy hóa mạnh và chất khử trùng hiệu quả, thường được sử dụng trong ngành thực phẩm chủ yếu làm chất tẩy trắng bột mì, và để xử lý nước, khử trùng bề mặt thiết bị hoặc sản phẩm (như thịt gia cầm).
  
  Nguồn gốc: Là một nguyên tố hóa học, được sản xuất công nghiệp thông qua điện phân dung dịch muối.
  Độ an toàn & mức rủi ro: Safe w/ Limits. Mặc dù có độc tính ở nồng độ cao, nhưng khi sử dụng đúng cách với dư lượng được kiểm soát chặt chẽ hoặc không còn trong sản phẩm cuối, nó được xem là an toàn.
  Tình trạng pháp lý:
  EU: Không được phép làm phụ gia thực phẩm trực tiếp (E-number), nhưng được sử dụng làm chất hỗ trợ chế biến (processing aid) cho nước và khử trùng.
  FDA: Cho phép sử dụng làm chất tẩy trắng bột mì, chất xử lý nước và trong các quy trình vệ sinh cho thịt gia cầm và rau quả với giới hạn dư lượng nghiêm ngặt.
  JECFA: Không đánh giá như một phụ gia trực tiếp, nhưng nghiên cứu về các sản phẩm phụ của quá trình khử trùng nước bằng clo.",Chất xử lý bột,No ADI established,2,0, https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/552,1
927a,Azodicarbonamide,Azodicarbonamid,"Azodicarbonamide (INS 927a) là một chất oxy hóa tổng hợp, được sử dụng như chất làm chín và cải thiện bột mì, giúp tăng độ đàn hồi, thể tích và cấu trúc bánh. Mức độ an toàn của nó gây tranh cãi do có thể phân hủy tạo thành semicarbazide (SEM), một chất gây ung thư tiềm năng ở động vật khi tiếp xúc liều cao. EU đã cấm sử dụng trong thực phẩm, trong khi FDA Hoa Kỳ vẫn cho phép ở nồng độ giới hạn (tối đa 45 ppm) trong bột mì.",Chất xử lý bột,ADI NO LONGER SUPPORTED AS THERE IS NO SUPPORT FOR A RE-EVALUATION,2,0,https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/538,1
930,Calcium peroxide,Calci peroxyd,"INS: 930 - Calcium peroxide
  
  INS 930, Calcium peroxide, là một chất oxy hóa vô cơ chủ yếu được sử dụng làm chất xử lý bột mì và chất điều hòa bột. Nó giải phóng oxy khi tiếp xúc với nước, giúp cải thiện độ đàn hồi và làm trắng bột. Nguồn gốc tổng hợp.
  
  Độ an toàn & mức rủi ro: Safe w/ Limits
  Tình trạng pháp lý: Được chấp thuận bởi EU (E 930) và FDA (21 CFR 172.802). JECFA đã đặt ADI ""không xác định"" (ADI ""not specified""), cho thấy mức độ độc tính rất thấp và không gây lo ngại ở mức sử dụng thông thường.",Chất xử lý bột,No ADI established,2,0,https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/111,1
962,Aspartame-acesulfame salt,Muối aspartamacesulfam,"INS: 962 - Muối Aspartame-Acesulfame
  
  INS 962, Muối Aspartame-Acesulfame, là một chất tạo ngọt cường độ cao tổng hợp, hình thành từ muối của aspartame và acesulfame K. Phụ gia này mang lại vị ngọt tổng hợp mạnh mẽ và cải thiện hồ sơ hương vị so với từng thành phần riêng lẻ. Được đánh giá là Safe w/ Limits khi sử dụng trong giới hạn ADI (lượng ăn vào hàng ngày chấp nhận được). Nó được chấp thuận rộng rãi bởi các cơ quan quản lý như FDA (Hoa Kỳ), EFSA (EU) và JECFA.",Chất tạo ngọt,aspartame: 0-40 potassium: 0-15,2,0,https://apps.who.int/food-additives-contaminants-jecfa-database/Home/Chemical/1849,1
